X,Y,Z
"45,2665448801064","99,5227914928817","41,223334475638"
"53,6392263344269","71,6868355471434","52,8737190264222"
"75,9256486869019","92,5404943651059","39,802348712161"
"63,1205019074505","82,5520706750313","23,6818282626668"
"98,6355498869476","27,8642146927462","37,0094568198518"
"8,10682882335795","16,9435598805429","2,13018392923562"
"5,91693573672579","99,2546725797474","40,1322594902466"
"29,4429617922868","22,9192404358191","71,3506205575647"
"61,0017774156041","14,8015129221906","47,8488204775556"
"65,1931608433136","81,1219728179371","3,99776663383089"
"61,4753890796176","21,459262827438","1,60812674177038"
"71,3710120980335","70,8419845690685","45,0189256181761"
"33,1844713187063","94,6737268423909","2,0322249450098"
"5,76084966117936","78,3940370285755","60,1652608966657"
"36,7716180540385","21,0085108011818","85,5019248429921"
"86,0012268787979","65,9666701145631","24,5077050992458"
"87,3066309996397","47,636523774641","70,8830944525236"
"89,4438475055504","52,8482119449521","89,3285232269481"
"43,9888086737553","79,905667467943","23,5708746047948"
"50,2186484631702","60,2044014051021","5,44588094458889"
